County,State,Distance (km)
Autauga County,Alabama,NA
Baldwin County,Alabama,NA
Barbour County,Alabama,NA
Bibb County,Alabama,NA
Blount County,Alabama,NA
Bullock County,Alabama,NA
Butler County,Alabama,NA
Calhoun County,Alabama,NA
Chambers County,Alabama,NA
Cherokee County,Alabama,NA
Chilton County,Alabama,NA
Choctaw County,Alabama,NA
Clarke County,Alabama,NA
Clay County,Alabama,NA
Cleburne County,Alabama,NA
Coffee County,Alabama,NA
Colbert County,Alabama,NA
Conecuh County,Alabama,NA
Coosa County,Alabama,NA
Covington County,Alabama,NA
Crenshaw County,Alabama,NA
Cullman County,Alabama,NA
Dale County,Alabama,NA
Dallas County,Alabama,NA
DeKalb County,Alabama,NA
Elmore County,Alabama,NA
Escambia County,Alabama,NA
Etowah County,Alabama,NA
Fayette County,Alabama,NA
Franklin County,Alabama,NA
Geneva County,Alabama,NA
Greene County,Alabama,NA
Hale County,Alabama,NA
Henry County,Alabama,NA
Houston County,Alabama,NA
Jackson County,Alabama,NA
Jefferson County,Alabama,NA
Lamar County,Alabama,NA
Lauderdale County,Alabama,NA
Lawrence County,Alabama,NA
Lee County,Alabama,NA
Limestone County,Alabama,NA
Lowndes County,Alabama,NA
Macon County,Alabama,NA
Madison County,Alabama,NA
Marengo County,Alabama,NA
Marion County,Alabama,NA
Marshall County,Alabama,NA
Mobile County,Alabama,NA
Monroe County,Alabama,NA
Montgomery County,Alabama,NA
Morgan County,Alabama,NA
Perry County,Alabama,NA
Pickens County,Alabama,NA
Pike County,Alabama,NA
Randolph County,Alabama,NA
Russell County,Alabama,NA
St. Clair County,Alabama,NA
Shelby County,Alabama,NA
Sumter County,Alabama,NA
Talladega County,Alabama,NA
Tallapoosa County,Alabama,NA
Tuscaloosa County,Alabama,NA
Walker County,Alabama,NA
Washington County,Alabama,NA
Wilcox County,Alabama,NA
Winston County,Alabama,NA
Aleutians East Borough,Alaska,NA
Aleutians West Census Area,Alaska,NA
Anchorage Municipality,Alaska,NA
Bethel Census Area,Alaska,NA
Bristol Bay Borough,Alaska,NA
Denali Borough,Alaska,NA
Dillingham Census Area,Alaska,NA
Fairbanks North Star Borough,Alaska,NA
Haines Borough,Alaska,NA
